id_,token_id,permalink,last_sale_usd,last_sale_eth,top_bid,num_sales
1163,1163,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1163,4124.420000000000073000,1.000000000000000,,1
409,409,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/409,,,,0
288,288,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/288,4124.420000000000073000,1.000000000000000,,1
1595,1595,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1595,,,,0
385,385,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/385,4124.420000000000073000,1.000000000000000,,1
1477,1477,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1477,4124.420000000000073000,1.000000000000000,,2
234,234,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/234,,,,0
285,285,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/285,4124.420000000000073000,1.000000000000000,,1
1263,1263,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1263,4124.420000000000073000,1.000000000000000,,2
494,494,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/494,4124.420000000000073000,1.000000000000000,,1
1055,1055,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1055,4124.420000000000073000,1.000000000000000,,1
1484,1484,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1484,4124.420000000000073000,1.000000000000000,,1
404,404,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/404,,,,0
425,425,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/425,,,,0
856,856,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/856,4124.420000000000073000,1.000000000000000,,1
581,581,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/581,4124.420000000000073000,1.000000000000000,,2
1089,1089,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1089,4124.420000000000073000,1.000000000000000,,2
108,108,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/108,4124.420000000000073000,1.000000000000000,,1
320,320,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/320,4124.420000000000073000,1.000000000000000,,1
1401,1401,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1401,,,,0
958,958,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/958,4124.420000000000073000,1.000000000000000,,1
1820,1820,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1820,4124.420000000000073000,1.000000000000000,,1
1253,1253,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1253,4124.420000000000073000,1.000000000000000,,2
1588,1588,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1588,,,,0
429,429,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/429,4124.420000000000073000,1.000000000000000,,2
1250,1250,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1250,,,,0
1257,1257,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1257,,,,0
1280,1280,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1280,4124.420000000000073000,1.000000000000000,,1
790,790,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/790,4124.420000000000073000,1.000000000000000,,1
795,795,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/795,4124.420000000000073000,1.000000000000000,,1
670,670,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/670,4124.420000000000073000,1.000000000000000,,1
1105,1105,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1105,4124.420000000000073000,1.000000000000000,,1
1028,1028,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1028,4124.420000000000073000,1.000000000000000,,1
1086,1086,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1086,4124.420000000000073000,1.000000000000000,,2
308,308,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/308,4124.420000000000073000,1.000000000000000,,1
486,486,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/486,4124.420000000000073000,1.000000000000000,,2
1850,1850,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1850,4124.420000000000073000,1.000000000000000,,1
1469,1469,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1469,4124.420000000000073000,1.000000000000000,,1
835,835,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/835,4124.420000000000073000,1.000000000000000,,2
328,328,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/328,4124.420000000000073000,1.000000000000000,,2
225,225,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/225,,,,0
1397,1397,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1397,4124.420000000000073000,1.000000000000000,,1
648,648,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/648,4124.420000000000073000,1.000000000000000,,1
1607,1607,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1607,,,,0
